Date,Total  (1),Percentage Change  (1),Daily Average  (1),OPEC,OECD,FSU  (2),U.S.A.  (2),Mexico  (2),China  (2),Canada  (2),UK  (2),Norway  (2),Total Non  OPEC,Total World
1/1/1962 0:00,599.76,-,1.643178082,-,-,-,-,-,-,-,-,-,-,-
1/1/1963 0:00,651.71,8.661798053,1.785506849,-,-,-,-,-,-,-,-,-,-,-
1/1/1964 0:00,694.13,6.50903009,1.896530055,-,-,-,-,-,-,-,-,-,-,-
1/1/1965 0:00,804.94,15.96386844,2.205315068,-,-,-,-,-,-,-,-,-,-,-
1/1/1966 0:00,948.57,17.84356598,2.598821918,-,-,-,-,-,-,-,-,-,-,-
1/1/1967 0:00,1023.84,7.935102312,2.805041096,-,-,-,-,-,-,-,-,-,-,-
1/1/1968 0:00,1113.71,8.777738709,3.042923497,-,-,-,-,-,-,-,-,-,-,-
1/1/1969 0:00,1173.89,5.403561071,3.216136986,-,-,-,-,-,-,-,-,-,-,-
1/1/1970 0:00,1386.67,18.12605951,3.79909589,-,-,-,-,-,-,-,-,-,-,-
1/1/1971 0:00,1740.68,25.52950594,4.768986301,-,-,-,-,-,-,-,-,-,-,-
1/1/1972 0:00,2201.96,26.49998851,6.016284153,-,-,-,-,-,-,-,-,-,-,-
1/1/1973 0:00,2772.61,25.91554797,7.596191781,-,-,-,-,-,-,-,-,-,-,-
1/1/1974 0:00,3095.09,11.63091816,8.47969863,-,-,-,-,-,-,-,-,-,-,-
1/1/1975 0:00,2582.53,-16.56042312,7.075424658,-,-,-,-,-,-,-,-,-,-,-
1/1/1976 0:00,3139.28,21.55831684,8.57726776,-,-,-,-,-,-,-,-,-,-,-
1/1/1977 0:00,3357.96,6.965928493,9.199890411,-,-,-,-,-,-,-,-,-,-,-
1/1/1978 0:00,3029.9,-9.769622032,8.30109589,-,-,-,-,-,-,-,-,-,-,-
1/1/1979 0:00,3479.15,14.82722202,9.531917808,-,-,-,-,-,-,-,-,-,-,-
1/1/1980 0:00,3623.8,4.157624707,9.901092896,-,-,-,-,-,-,-,-,-,-,-
1/1/1981 0:00,3579.89,-1.211711463,9.807917808,-,-,-,-,-,-,-,-,-,-,-
1/1/1982 0:00,2366.41,-33.89713092,6.483315068,-,-,-,-,-,-,-,-,-,-,-
1/1/1983 0:00,1656.88,-29.98339257,4.53939726,18.6,16.01,12.36,10.3,2.93,2.13,1.7,2.4,0.66,39.49,58.09
1/1/1984 0:00,1492.9,-9.896914683,4.078961749,18.79,16.74,12.26,10.55,2.94,2.29,1.78,2.61,0.74,40.91,59.7
1/1/1985 0:00,1158.8,-22.37926184,3.174794521,17.57,17.13,11.95,10.64,2.91,2.51,1.84,2.66,0.85,41.65,59.22
1/1/1986 0:00,1746.2,50.69036935,4.784109589,19.89,16.87,12.35,10.29,2.75,2.62,1.82,2.68,0.9,42.06,61.96
1/1/1987 0:00,1505.4,-13.78994388,4.124383562,19.69,19.78,12.54,10.01,2.88,2.69,1.91,2.62,1.05,42.72,62.42
1/1/1988 0:00,1890.1,25.55466986,5.16420765,21.81,19.63,12.51,9.82,2.88,2.74,2,2.42,1.2,42.94,64.76
1/1/1989 0:00,1848.5,-2.200941749,5.064383562,23.79,18.89,12.2,9.22,2.9,2.76,1.96,1.95,1.57,42.27,66.06
1/1/1990 0:00,2340.5,26.61617528,6.412328767,25.06,18.97,11.48,8.99,2.98,2.77,1.97,1.94,1.72,41.86,66.92
1/1/1991 0:00,2963,26.59688101,8.117808219,25.33,19.53,10.37,9.16,3.13,2.8,1.98,1.94,1.96,41.46,66.79
1/1/1992 0:00,3049.4,2.91596355,8.331693989,26.48,19.76,8.93,9,3.12,2.84,2.07,2,2.22,40.76,67.24
1/1/1993 0:00,2937.4,-3.672853676,8.047671233,26.95,19.95,7.95,8.82,3.14,2.91,2.18,2.14,2.38,40.51,67.45
1/1/1994 0:00,2937.9,0.017021856,8.049041096,27.36,20.84,7.25,8.64,3.14,2.84,2.27,2.7,2.69,41.27,68.63
1/1/1995 0:00,2928.54,-0.318594915,8.02339726,27.65,21.1,7.14,8.61,3.07,2.99,2.4,2.79,2.91,42.53,70.18
1/1/1996 0:00,2965.45,1.260354989,8.102322404,28.41,21.72,7.09,8.59,3.28,3.12,2.46,2.81,3.23,43.63,72.04
1/1/1997 0:00,2924.28,-1.388322177,8.011726027,29.9,22.07,7.23,8.65,3.41,3.19,2.57,2.74,3.28,44.45,74.35
1/1/1998 0:00,3022.27,3.35091031,8.280191781,30.79,21.88,7.3,8.37,3.5,3.19,2.67,2.84,3.14,44.68,75.47
1/1/1999 0:00,2761.1,-8.6415178,7.564657534,29.43,21.43,7.49,8.1,3.35,3.19,2.56,2.93,3.14,44.69,74.12
1/1/2000 0:00,2962.6,7.297816088,8.094535519,30.8,21.93,7.92,8.11,3.45,3.23,2.74,2.71,3.32,46.07,76.87
1/1/2001 0:00,2879.46,-2.806318774,7.888931507,30.11,21.81,8.56,8.07,3.56,3.3,2.73,2.53,3.41,46.67,76.78
1/1/2002 0:00,2588.98,-10.08800261,7.09309589,28.55,21.88,9.37,8.06,3.59,3.39,2.86,2.5,3.33,47.97,76.52
1/1/2003 0:00,3069.74,18.56947524,8.410246575,30.66,21.6,10.31,7.82,3.79,3.41,3,2.28,3.26,49.01,79.67
1/1/2004 0:00,3256.3,6.077387661,8.896994536,32.97,21.25,11.22,7.66,3.83,3.48,3.09,2.06,3.19,50.12,83.07
1/1/2005 0:00,3413.94,4.841077296,9.353260274,34.2,20.33,11.64,7.32,3.76,3.62,3.06,1.84,2.97,50.25,84.45
1/1/2006 0:00,3360.9,-1.553630117,9.207945205,34.34,19.97,12.25,7.34,3.68,3.67,3.19,1.66,2.78,51.09,85.43
1/1/2007 0:00,3217.77,-4.258680711,8.815808219,34.86,19.85,12.77,7.47,3.48,3.73,3.32,1.66,2.56,50.69,85.55
1/1/2008 0:00,3366.34,4.617172763,9.197650273,35.63,19.33,12.82,7.52,3.16,3.79,3.25,1.56,2.46,50.75,86.38
1/1/2009 0:00,2987.27,-11.26059756,8.18430137,33.5,18.81,13.28,7.44,2.97,3.89,3.22,1.48,2.39,51.7,85.2
1/1/2010 0:00,2980.43,-0.228971603,8.165561644,34.75,18.86,13.55,7.77,2.96,4.1,3.37,1.36,2.14,52.58,87.33
1/1/2011 0:00,3398.52,14.02784162,9.311013699,35.65,18.94,13.57,8.14,2.94,4.1,3.51,1.11,2.04,52.78,88.44
1/1/2012 0:00,3573.4,5.145769335,9.763387978,37.58,19.88,13.62,9.18,2.92,4.18,3.75,0.94,1.91,53.36,90.94
1/1/2013 0:00,3517.62,-1.56097834,9.637315068,36.72,20.91,13.88,10.24,2.89,4.18,3.97,0.89,1.84,54.62,91.39
1/1/2014 0:00,3545.14,0.782347155,9.712712329,37.48,22.91,13.87,11.99,2.81,4.25,4.28,0.87,1.89,56.29,93.74
1/1/2015 0:00,3720.28,4.940284446,10.19254795,38.14,23.92,14,12.99,2.6,4.33,4.39,0.96,1.95,58.45,96.59
1/1/2016 0:00,3828.43,2.907039255,10.46019126,39.59,23.42,14.24,12.53,2.47,3.98,4.47,1.03,1.99,57.37,96.96
1/1/2017 0:00,3635.29,-5.044887852,9.95969863,37.52,24.2,14.3,13.27,2.23,3.87,4.82,1.01,1.97,59.88,97.4
1/1/2018 0:00,3765.13,3.571654531,10.31542466,37.38,26.9,14.56,15.54,2.07,3.81,5.41,1.11,1.85,62.94,100.32
1/1/2019 0:00,3579.96,-4.918024079,9.808109589,34.9,28.51,14.64,17.16,1.93,3.92,5.54,1.13,1.74,65.6,100.5
1/1/2020 0:00,3372.03,-5.808165454,9.213196721,30.8,27.92,13.5,16.56,1.93,3.97,5.35,1.08,2.01,63,93.8
1/1/2021 0:00,3330.52,-1.231009214,9.124712329,31.58,28.21,13.77,16.72,1.95,4.06,5.62,0.89,2.04,63.71,95.28
  (1)    Unit :Million Barrels    Sources: Ministry of Energy.  <br />,,,,,,,,,,,,,,
"  (2)    Unit :Million barrels per day    * Including Condensates and Natural gas liquids. <br>
Source: International Energy Agency Review, March 2022.  <br />",,,,,,,,,,,,,,
