Date,MaleZZZPh.D.,FemaleZZZPh.D.,TotalZZZPh.D.,MaleZZZMaster,FemaleZZZMaster,TotalZZZMaster,MaleZZZHigher Diploma,FemaleZZZHigher Diploma,TotalZZZHigher Diploma,MaleZZZBachelor degree ,FemaleZZZBachelor degree ,TotalZZZBachelor degree ,MaleZZZIntermediate Diploma,FemaleZZZIntermediate Diploma ,TotalZZZIntermediate Diploma 
2008,220,103,323,895,695,1590,849,374,1223,26255,51820,78075,23079,6595,29674
2009,224,162,386,1020,808,1828,1137,479,1616,27621,57484,85105,24368,7469,31837
2010,239,190,429,1761,1232,2993,2280,1867,4147,31478,59084,90562,28699,10161,38860
2011,239,72,311,2497,1520,4017,2801,1567,4368,39894,61797,101691,23573,7097,30670
2012,271,96,367,2191,1413,3604,5000,2910,7910,43718,60740,104458,23014,7281,30295
2013,257,98,355,2787,1845,4632,5641,5868,11509,58446,75387,133833,26063,8646,34709
2014,194,53,247,2227,1448,3675,5780,9099,14879,66960,87834,154794,23196,7174,30370
2015,291,88,379,2943,2220,5163,2620,3405,6025,75554,102834,178388,21262,7795,29057
2016,362,89,451,3015,2436,5451,2055,3427,5482,85406,118877,204283,27435,11037,38472
2017,444,118,562,2547,1986,4533,2596,3467,6063,77863,117329,195192,22016,8864,30880
2018,560,239,799,2797,2300,5097,1162,1213,2375,82020,118543,200563,3470,7482,10952
