,Open - ended,Open - ended,Close - ended,Close - ended,Total,Total, , , , , , , , , , , , , , , 
Date,Number  (1),Assets  (1),Number  (1),Assets  (1),Number  (1),Assets  (1),Domestic Shares  (2),Foreign Shares  (2),Domestic Sukuk and Bonds  (2),Foreign Bonds  (2),Domestic Money Market Instruments  (2),Foreign Money Market Instruments  (2),Other Domestic Assets  (2),Other Foreign Assets  (2),Real Estate Investments  (2),Total Assets  (2),No. of Operating Funds  (3),No. of Subscribers  (3),Domestic Assets *  (3),Foreign Assets *  (3),Total Assets of Funds *  (3)
1/1/1998 12:00:00 AM,-,-,-,-,-,-,1424.845,3612.703,2072.02,494.722,4312.009,3560,2467.69,3387.3,-,21331.289,105,63039,11600,9731,21331
4/1/1998 12:00:00 AM,-,-,-,-,-,-,1490.643,4042.155,1923.5,500.838,4721.262,3773.499,2648.92,3531,-,22631.817,107,65631,12062,10570,22632
7/1/1998 12:00:00 AM,-,-,-,-,-,-,1375.639,4042.272,2344.6,535.28,4121.417,4016.82,2568.53,4687.34,-,23691.898,116,68039,11754,11938,23692
10/1/1998 12:00:00 AM,-,-,-,-,-,-,1206.603,4451.868,2494.5,532.603,4119.194,4357.649,2659,5187.87,-,25009.287,121,69543,12001,13008,25009
1/1/1999 12:00:00 AM,-,-,-,-,-,-,1207.865,4387.732,1378.1,464.442,5483.998,5303.744,2974,4932,-,26131.881,119,75734,12569,13562,26131
4/1/1999 12:00:00 AM,-,-,-,-,-,-,1188.969,5445.574,1661.6,648.096,5995,4817.036,3278.91,6888.77,-,29923.955,122,80227,13811,16113,29924
7/1/1999 12:00:00 AM,-,-,-,-,-,-,1353.3,5799.854,1887.3,587.423,6443.331,4715.506,3978.14,7150.61,-,31915.464,125,76616,15396,16518,31914
10/1/1999 12:00:00 AM,-,-,-,-,-,-,1569,6686.084,2107.6,575.878,6230.794,4717.449,4251.08,8544.13,-,34682.015,134,79322,15972,18710,34682
1/1/2000 12:00:00 AM,-,-,-,-,-,-,1586.783,7602.252,2147.2,383.811,6253.744,5175.143,4758,9546.51,-,37453.443,136,86358,16670,20783,37453
4/1/2000 12:00:00 AM,-,-,-,-,-,-,1385.894,7875.709,2301.3,296.88,6686.279,5045.776,5278,9789.13,-,38658.968,138,92589,17493,21166,38659
7/1/2000 12:00:00 AM,-,-,-,-,-,-,1485.465,7427.93,2046,254.49,7233.69,5050.772,6053.98,9671.11,-,39223.437,140,94075,18863,20360,39223
10/1/2000 12:00:00 AM,-,-,-,-,-,-,1360,7697,7,193,7849,2064,7367,12019,-,38556,138,95800,16583,21973,38556
1/1/2001 12:00:00 AM,-,-,-,-,-,-,1371,6396,8,181,9239,2210,9011,11616,-,40032,139,99251,19629,20403,40032
4/1/2001 12:00:00 AM,-,-,-,-,-,-,2435,6669,8,180,11763,2967,11536,9863,-,45421,139,174639,25742,19679,45421
7/1/2001 12:00:00 AM,-,-,-,-,-,-,2334,5440,8,181,12465,3147,12932,9273,-,45780,139,172550,27739,18041,45780
10/1/2001 12:00:00 AM,-,-,-,-,-,-,2355,6844,7,180,13723,3999,14332,8619,-,50059,138,173999,30416,19643,50059
1/1/2002 12:00:00 AM,-,-,-,-,-,-,2479,6793,7.4,184,14902,3614,15283,8913,-,52175.4,151,171360,32671,19504,52175
4/1/2002 12:00:00 AM,-,-,-,-,-,-,2598,6012,7,196,16319,3483,15771,8045,-,52431,147,178166,34695,17737,52432
7/1/2002 12:00:00 AM,-,-,-,-,-,-,2639,4882,14,144,16172,3337,15179,7586,-,49953,134,169040,34004,15949,49953
10/1/2002 12:00:00 AM,-,-,-,-,-,-,2437,5339,10.4,122.3,15516.3,3397.5,14863.9,7139.9,-,48826.3,143,165044,32827,15998.9,48825.9
1/1/2003 12:00:00 AM,-,-,-,-,-,-,3739.6,5587.7,9.1,125.3,15914.8,3387,14385.7,7079.4,-,50228.6,151,161998,34049,16180,50229
4/1/2003 12:00:00 AM,-,-,-,-,-,-,4366.1,6463.1,7.7,147.4,16417.9,2976.5,15663.8,6506.1,-,52548.6,153,164467,36456,16093,52549
7/1/2003 12:00:00 AM,-,-,-,-,-,-,4456.4,6914.4,9.1,136.5,16482,3268.7,15746.9,6345.5,-,53359.5,159,168484,36695,16665,53360
10/1/2003 12:00:00 AM,166,53190,4,676,170,53866,4841,7638,7,134,15360,3105,17008,5773,-,53866,170,172197,37216,16650,53866
1/1/2004 12:00:00 AM,168,53863,7,1352,175,55215,5764,8128,9,133,14440,2858,18401,5482,-,55215,175,171895,38614,16601,55215
4/1/2004 12:00:00 AM,166,53694,7,1280,173,54974,6791,8258,19,146,12564,2674,19349,5173,-,54974,173,172693,38723,16251,54974
7/1/2004 12:00:00 AM,175,55549,11,1589,186,57138,8924,8085,28,136,12102,2519,5270,20074,-,57138,186,184885,41128,16010,57138
10/1/2004 12:00:00 AM,176,58741,12,1576,188,60317,14572,8461,27,128,10379,2276,19512,4962,-,60317,188,198357,44490,15827,60317
1/1/2005 12:00:00 AM,176,67561,13,1578,189,69139,24025,8574,38,127,8986,2041,19886,5462,-,69139,189,221762,52935,16204,69139
4/1/2005 12:00:00 AM,183,96484,13,1370,196,97854,55461,8988,30,101,7445,1810,18755,5264,-,97854,196,406240,81691,16163,97854
7/1/2005 12:00:00 AM,184,112368,13,1477,197,113845,71588,9516,27,90,6711,1762,18782,5370,-,113846,197,488963,97108,16738,113846
10/1/2005 12:00:00 AM,188,135838,11,1136,199,136974,89444,14667,20,79,6501,1607,19696,4960,-,136974,199,568284,115661,21313,136974
1/1/2006 12:00:00 AM,-,-,-,-,201,141719,91368,13667,1820,168,21527,2820,6400,3949,-,141719,201,680629,121115,20604,141719
4/1/2006 12:00:00 AM,-,-,-,-,209,111954,62576,12976.5,1753,158,22300,3195,4704,4291,-,111953.5,209,585602,91333,20621,111954
7/1/2006 12:00:00 AM,-,-,-,-,209,100104,50007,13772,1809.5,147,22411,3358,4284,4315.4,-,100103.9,209,553684,78512,21592,100104
10/1/2006 12:00:00 AM,-,-,-,-,214,84108,31960,15583,1683,168.3,23951,3512,3749,3502,-,84108.3,214,499968,61343.5,22764.5,84108
1/1/2007 12:00:00 AM,-,-,-,-,221,79013,29354,14725,133,104,23847,3592,3722,3536.4,-,79013.4,221,478559,57055,21958,79013
4/1/2007 12:00:00 AM,-,-,-,-,224,77767,26100,15843,121,140,24120,4505,3627,3311,-,77767,224,449404,53968,23799,77767
7/1/2007 12:00:00 AM,-,-,-,-,234,81296,28526,16187,324,213,24316,4682,3324,3724,-,81296,234,433008,56490,24806,81296
10/1/2007 12:00:00 AM,-,-,-,-,252,105100,45206,16809,531,264,29362,3518,4611,4798.5,-,105099.5,252,426085,79889.5,25210.5,105100
1/1/2008 12:00:00 AM,234,98530,26,5441,260,103971,39919,15168,964,208,37128,2819,4663,2639,463,103971,260,413936,82989,20982,103971
4/1/2008 12:00:00 AM,244,105433,23,4414,267,109847,38935,16158,1156,323,40965,3173,4890,1325,2922,109847,267,396340,88222,21625,109847
7/1/2008 12:00:00 AM,248,91335,26,5904.5,274,97239.5,30627,12464,1267,405,38924,3381,1448,4785,3938.5,97239.5,274,385956,75165,22075,97240
