Entity,Code,Year,Value
China,CHN,2020,101562.2792
United Arab Emirates,ARE,2020,34286.8216
Germany,DEU,2020,26869.22345
Italy,ITA,2020,15926.04123
France,FRA,2020,17370.87454
United Kingdom,GBR,2020,11922.4869
Brazil,BRA,2020,8333.558632
Spain,ESP,2020,8152.129088
Switzerland,CHE,2020,5644.784436
Canada,CAN,2020,6952.264249
Sweden,SWE,2020,4502.670958
Vietnam,VNM,2020,4587.578441
Hong Kong,HKG,2020,3954.214991
Ireland,IRL,2020,3985.75203
Mexico,MEX,2020,3133.373792
Ukraine,UKR,2020,2961.602652
Romania,ROU,2020,1850.532092
Hungary,HUN,2020,1308.048733
Norway,NOR,2020,650.96661
Lithuania,LTU,2020,788.153619
United States,USA,2020,55144.54289
